Year,Province,Unemployment_Rate
1998,NUSA TENGGARA BARAT,3.14
1998,NUSA TENGGARA TIMUR,2.64
1998,KALIMANTAN BARAT,3.65
1998,KALIMANTAN TENGAH,4.49
1998,KALIMANTAN SELATAN,4.16
1998,KALIMANTAN TIMUR,8.45
1998,SULAWESI UTARA,5.48
1998,SULAWESI TENGAH,5
1998,SULAWESI SELATAN,5.25
1998,SULAWESI TENGGARA,2.56
1998,GORONTALO,None
1998,MALUKU,3.7
1998,MALUKU UTARA,None
1998,PAPUA,3.22
1998,INDONESIA,5.46
1997,ACEH,5.24
1997,SUMATERA UTARA,5.19
1997,SUMATERA BARAT,4.54
1997,RIAU,5.91
1997,JAMBI,4.06
1997,SUMATERA SELATAN,4.12
1997,BENGKULU,3.42
1997,LAMPUNG,3.44
1997,KEP. BANGKA BELITUNG,None
1997,DKI JAKARTA,10.94
1997,JAWA BARAT,6.42
1997,JAWA TENGAH,3.86
1997,DI YOGYAKARTA,4.04
1997,JAWA TIMUR,3.31
1997,BANTEN,None
1997,BALI,2.59
1997,NUSA TENGGARA BARAT,1.71
1997,NUSA TENGGARA TIMUR,2.41
1997,KALIMANTAN BARAT,3.61
1997,KALIMANTAN TENGAH,3.98
1997,KALIMANTAN SELATAN,2.84
1997,KALIMANTAN TIMUR,6.85
1997,SULAWESI UTARA,8.02
1997,SULAWESI TENGAH,3.77
1997,SULAWESI SELATAN,4.48
1997,SULAWESI TENGGARA,2.48
1997,GORONTALO,None
1997,MALUKU,5.61
1997,MALUKU UTARA,None
1997,PAPUA,3.35
1997,INDONESIA,4.69
1996,ACEH,6.47
1996,SUMATERA UTARA,6.32
1996,SUMATERA BARAT,4.72
1996,RIAU,5.94
1996,JAMBI,3.8
1996,SUMATERA SELATAN,4.02
1996,BENGKULU,3.38
1996,LAMPUNG,4.22
1996,KEP. BANGKA BELITUNG,None
1996,DKI JAKARTA,9.41
1996,JAWA BARAT,6.71
1996,JAWA TENGAH,3.69
1996,DI YOGYAKARTA,4.07
1996,JAWA TIMUR,3.47
1996,BANTEN,None
1996,BALI,2.66
1996,NUSA TENGGARA BARAT,2.6
1996,NUSA TENGGARA TIMUR,2.18
1996,KALIMANTAN BARAT,3.43
1996,KALIMANTAN TENGAH,3
1996,KALIMANTAN SELATAN,3.33
1996,KALIMANTAN TIMUR,7.6
1996,SULAWESI UTARA,9.24
1996,SULAWESI TENGAH,4.84
1996,SULAWESI SELATAN,5.33
1996,SULAWESI TENGGARA,3.66
1996,GORONTALO,None
1996,MALUKU,5.55
1996,MALUKU UTARA,None
1996,PAPUA,4.03
1996,INDONESIA,4.87
1995,ACEH,None
1995,SUMATERA UTARA,None
1995,SUMATERA BARAT,None
1995,RIAU,None
1995,JAMBI,None
1995,SUMATERA SELATAN,None
1995,BENGKULU,None
1995,LAMPUNG,None
1995,KEP. BANGKA BELITUNG,None
1995,DKI JAKARTA,None
1995,JAWA BARAT,None
1995,JAWA TENGAH,None
1995,DI YOGYAKARTA,None
1995,JAWA TIMUR,None
1995,BANTEN,None
1995,BALI,None
1995,NUSA TENGGARA BARAT,None
1995,NUSA TENGGARA TIMUR,None
1995,KALIMANTAN BARAT,None
1995,KALIMANTAN TENGAH,None
1995,KALIMANTAN SELATAN,None
1995,KALIMANTAN TIMUR,None
1995,SULAWESI UTARA,None
1995,SULAWESI TENGAH,None
1995,SULAWESI SELATAN,None
1995,SULAWESI TENGGARA,None
1995,GORONTALO,None
1995,MALUKU,None
1995,MALUKU UTARA,None
1995,PAPUA,None
1995,INDONESIA,None
1994,ACEH,5.51
1994,SUMATERA UTARA,5.05
1994,SUMATERA BARAT,5.24
1994,RIAU,5.3
1994,JAMBI,2.79
1994,SUMATERA SELATAN,3.66
1994,BENGKULU,2.89
1994,LAMPUNG,3.29
1994,KEP. BANGKA BELITUNG,None
1994,DKI JAKARTA,9.1
1994,JAWA BARAT,5.87
1994,JAWA TENGAH,3.53
1994,DI YOGYAKARTA,3.95
1994,JAWA TIMUR,3.26
1994,BANTEN,None
1994,BALI,2.46
1994,NUSA TENGGARA BARAT,1.5
1994,NUSA TENGGARA TIMUR,1.5
1994,KALIMANTAN BARAT,2.34
1994,KALIMANTAN TENGAH,4.4
1994,KALIMANTAN SELATAN,2.96
1994,KALIMANTAN TIMUR,7.34
1994,SULAWESI UTARA,8.38
1994,SULAWESI TENGAH,4.83
1994,SULAWESI SELATAN,5.3
1994,SULAWESI TENGGARA,3.35
1994,GORONTALO,None
1994,MALUKU,4.03
1994,MALUKU UTARA,None
1994,PAPUA,3.09
1994,INDONESIA,4.36
1993,ACEH,4.01
1993,SUMATERA UTARA,3.2
1993,SUMATERA BARAT,2.45
1993,RIAU,3.6
1993,JAMBI,1.8
1993,SUMATERA SELATAN,2.58
1993,BENGKULU,2.24
1993,LAMPUNG,1.42
1993,KEP. BANGKA BELITUNG,None
1993,DKI JAKARTA,5.6
1993,JAWA BARAT,3.82
1993,JAWA TENGAH,2.1
1993,DI YOGYAKARTA,2.25
1993,JAWA TIMUR,2.46
1993,BANTEN,None
1993,BALI,1.37
1993,NUSA TENGGARA BARAT,0.83
1993,NUSA TENGGARA TIMUR,1.19
1993,KALIMANTAN BARAT,1.11
1993,KALIMANTAN TENGAH,1.24
1993,KALIMANTAN SELATAN,2.39
1993,KALIMANTAN TIMUR,3.98
1993,SULAWESI UTARA,5.02
1993,SULAWESI TENGAH,2.46
1993,SULAWESI SELATAN,3.72
1993,SULAWESI TENGGARA,2.23
1993,GORONTALO,None
1993,MALUKU,2.99
1993,MALUKU UTARA,None
1993,PAPUA,2.04
1993,INDONESIA,2.79
1992,ACEH,1.96
1992,SUMATERA UTARA,2.84
1992,SUMATERA BARAT,2.95
1992,RIAU,3.54
1992,JAMBI,1.96
1992,SUMATERA SELATAN,3.14
1992,BENGKULU,1.87
1992,LAMPUNG,1.21
1992,KEP. BANGKA BELITUNG,None
1992,DKI JAKARTA,6.35
1992,JAWA BARAT,3.62
1992,JAWA TENGAH,2.19
1992,DI YOGYAKARTA,2.41
1992,JAWA TIMUR,2.29
1992,BANTEN,None
1992,BALI,1.4
1992,NUSA TENGGARA BARAT,0.92
1992,NUSA TENGGARA TIMUR,1.27
1992,KALIMANTAN BARAT,1.23
1992,KALIMANTAN TENGAH,1.31
1992,KALIMANTAN SELATAN,2.35
1992,KALIMANTAN TIMUR,4.6
1992,SULAWESI UTARA,4.69
1992,SULAWESI TENGAH,2.33
1992,SULAWESI SELATAN,3.74
1992,SULAWESI TENGGARA,2.08
1992,GORONTALO,None
1992,MALUKU,3.28
1992,MALUKU UTARA,None
1992,PAPUA,2.14
1992,INDONESIA,2.74
1991,ACEH,2.44
1991,SUMATERA UTARA,2.85
1991,SUMATERA BARAT,3.01
1991,RIAU,3
1991,JAMBI,2.39
1991,SUMATERA SELATAN,2.59
1991,BENGKULU,2.22
1991,LAMPUNG,0.89
1991,KEP. BANGKA BELITUNG,None
1991,DKI JAKARTA,6.35
1991,JAWA BARAT,3.91
1991,JAWA TENGAH,2.06
1991,DI YOGYAKARTA,2.05
1991,JAWA TIMUR,2.15
1991,BANTEN,None
1991,BALI,1.56
1991,NUSA TENGGARA BARAT,0.56
1991,NUSA TENGGARA TIMUR,0.82
1991,KALIMANTAN BARAT,1
1991,KALIMANTAN TENGAH,0.88
1991,KALIMANTAN SELATAN,2
1991,KALIMANTAN TIMUR,3.53
1991,SULAWESI UTARA,3.52
1991,SULAWESI TENGAH,3.05
1991,SULAWESI SELATAN,2.72
1991,SULAWESI TENGGARA,1.79
1991,GORONTALO,None
1991,MALUKU,3.07
1991,MALUKU UTARA,None
1991,PAPUA,2.26
1991,INDONESIA,2.62
1990,ACEH,2.28
1990,SUMATERA UTARA,2.44
1990,SUMATERA BARAT,2.53
1990,RIAU,3.05
1990,JAMBI,1.92
1990,SUMATERA SELATAN,3.06
1990,BENGKULU,1.43
1990,LAMPUNG,0.86
1990,KEP. BANGKA BELITUNG,None
1990,DKI JAKARTA,7.3
1990,JAWA BARAT,3.23
1990,JAWA TENGAH,2.29
1990,DI YOGYAKARTA,2.23
1990,JAWA TIMUR,2.17
1990,BANTEN,None
1990,BALI,1.7
1990,NUSA TENGGARA BARAT,1
1990,NUSA TENGGARA TIMUR,0.65
1990,KALIMANTAN BARAT,1.5
1990,KALIMANTAN TENGAH,1.64
1990,KALIMANTAN SELATAN,1.6
1990,KALIMANTAN TIMUR,3.23
1990,SULAWESI UTARA,3.27
1990,SULAWESI TENGAH,2.31
1990,SULAWESI SELATAN,2.42
1990,SULAWESI TENGGARA,1.4
1990,GORONTALO,None
1990,MALUKU,2.37
1990,MALUKU UTARA,None
1990,PAPUA,3.11
1990,INDONESIA,2.55
1989,ACEH,3.21
1989,SUMATERA UTARA,2.43
1989,SUMATERA BARAT,2.73
1989,RIAU,3.88
1989,JAMBI,2.26
1989,SUMATERA SELATAN,3.11
1989,BENGKULU,2.44
1989,LAMPUNG,1.24
1989,KEP. BANGKA BELITUNG,None
1989,DKI JAKARTA,8.47
1989,JAWA BARAT,4.09
1989,JAWA TENGAH,2.32
1989,DI YOGYAKARTA,2.24
1989,JAWA TIMUR,2.27
1989,BANTEN,None
1989,BALI,1.42
1989,NUSA TENGGARA BARAT,0.75
1989,NUSA TENGGARA TIMUR,0.88
1989,KALIMANTAN BARAT,1.55
1989,KALIMANTAN TENGAH,1.16
1989,KALIMANTAN SELATAN,1.69
1989,KALIMANTAN TIMUR,3.11
1989,SULAWESI UTARA,4.6
1989,SULAWESI TENGAH,2.31
1989,SULAWESI SELATAN,2.46
1989,SULAWESI TENGGARA,1.29
1989,GORONTALO,None
1989,MALUKU,2.06
1989,MALUKU UTARA,None
1989,PAPUA,2.46
1989,INDONESIA,2.81
1988,ACEH,2.09
1988,SUMATERA UTARA,2.3
1988,SUMATERA BARAT,2.32
1988,RIAU,3.69
1988,JAMBI,2.57
1988,SUMATERA SELATAN,2.72
1988,BENGKULU,1.38
1988,LAMPUNG,1.03
1988,KEP. BANGKA BELITUNG,None
1988,DKI JAKARTA,10.01
1988,JAWA BARAT,4.24
1988,JAWA TENGAH,2.47
1988,DI YOGYAKARTA,2.48
1988,JAWA TIMUR,2.25
1988,BANTEN,None
1988,BALI,1.29
1988,NUSA TENGGARA BARAT,0.89
1988,NUSA TENGGARA TIMUR,0.85
1988,KALIMANTAN BARAT,1.67
1988,KALIMANTAN TENGAH,1.53
1988,KALIMANTAN SELATAN,1.29
1988,KALIMANTAN TIMUR,4.53
1988,SULAWESI UTARA,3.48
1988,SULAWESI TENGAH,1.8
1988,SULAWESI SELATAN,2.07
1988,SULAWESI TENGGARA,1.39
1988,GORONTALO,None
1988,MALUKU,2.94
1988,MALUKU UTARA,None
1988,PAPUA,1.8
1988,INDONESIA,2.85
1987,ACEH,1.67
1987,SUMATERA UTARA,1.88
1987,SUMATERA BARAT,1.9
1987,RIAU,3.94
1987,JAMBI,1.37
1987,SUMATERA SELATAN,2.4
1987,BENGKULU,1.2
1987,LAMPUNG,1.39
1987,KEP. BANGKA BELITUNG,None
1987,DKI JAKARTA,9.66
1987,JAWA BARAT,3.74
1987,JAWA TENGAH,2.33
1987,DI YOGYAKARTA,1.95
1987,JAWA TIMUR,2.23
1987,BANTEN,None
1987,BALI,1.07
1987,NUSA TENGGARA BARAT,0.92
1987,NUSA TENGGARA TIMUR,0.8
1987,KALIMANTAN BARAT,1.27
1987,KALIMANTAN TENGAH,0.63
1987,KALIMANTAN SELATAN,1.32
1987,KALIMANTAN TIMUR,3.87
1987,SULAWESI UTARA,2.68
1987,SULAWESI TENGAH,2.32
1987,SULAWESI SELATAN,1.64
1987,SULAWESI TENGGARA,1.08
1987,GORONTALO,None
1987,MALUKU,4.09
1987,MALUKU UTARA,None
1987,PAPUA,1.49
1987,INDONESIA,2.62
1986,ACEH,2.4
1986,SUMATERA UTARA,2.38
1986,SUMATERA BARAT,2.27
1986,RIAU,4.01
1986,JAMBI,2.38
1986,SUMATERA SELATAN,2.88
1986,BENGKULU,1.12
1986,LAMPUNG,1.28
1986,KEP. BANGKA BELITUNG,None
1986,DKI JAKARTA,10.35
1986,JAWA BARAT,4.05
1986,JAWA TENGAH,2.08
1986,DI YOGYAKARTA,2.11
1986,JAWA TIMUR,1.85
1986,BANTEN,None
1986,BALI,1.2
1986,NUSA TENGGARA BARAT,1.49
1986,NUSA TENGGARA TIMUR,0.99
1986,KALIMANTAN BARAT,1.52
1986,KALIMANTAN TENGAH,1.17
1986,KALIMANTAN SELATAN,1.99
1986,KALIMANTAN TIMUR,4.8
1986,SULAWESI UTARA,3.09
1986,SULAWESI TENGAH,1.49
1986,SULAWESI SELATAN,2.37
1986,SULAWESI TENGGARA,1.53
1986,GORONTALO,None
1986,MALUKU,3.01
1986,MALUKU UTARA,None
1986,PAPUA,2.09
1986,INDONESIA,2.7
